feature,OLS,Ridge,Lasso,ElasticNet
(intercepto),747.3873825211313,929.1943289813809,950.7172182010501,932.7741399052663
PC1,1016.9714068914965,1013.2102567997515,1058.5152918198846,1010.124331345623
PC2,-55.52373446321144,-50.47178681400975,-33.11993625385186,-49.29248700959827
PC3,-62.73424173873888,-63.401915427673536,-51.927315756871685,-62.80974920354139
PC4,-149.88939541664894,-141.3296503498042,-128.62745045310683,-139.5049794216409
PC5,370.33389273452764,349.63256615699356,348.5032936779689,345.939869346063
PC6,-61.708430415591735,-57.7285305912598,-42.01582386385153,-56.6786757161305
PC7,29.555563664829908,27.47445505655644,12.03727902332869,26.72914082843741
PC8,-784.7272835818343,-751.0347664403575,-803.31657103582,-742.7645669693446
Gender___male,49.54931019554475,46.31186902759231,0.0,43.43520483823924
Gender___other,-293.74155813999147,-65.21884595526139,-0.0,-49.6178770578668
City___ankara,106.31601826944828,23.320064784574615,0.0,17.42466065034895
City___antalya,162.45339520938552,45.98766079891152,0.0,36.03693624263369
City___bursa,85.31422001740492,3.533177869420628,-0.0,0.0
City___eskisehir,-41.01742679781878,-57.623058738002214,-0.0,-48.95120007271104
City___gaziantep,122.50277974554174,29.135537345092303,0.0,21.016759236903397
City___istanbul,188.9083694456332,93.16794582545674,19.168404948365218,86.14193413412649
City___izmir,71.61817115457099,-2.601833533916282,-0.0,-1.7857471210410791
City___kayseri,23.923052655763094,-27.240738498359928,-0.0,-21.771897365863417
City___konya,69.46487228252808,-1.455000618291912,-0.0,-0.0
Product_Category___books,49.34678423702979,-61.27310675037209,-0.0,-60.47966194858286
Product_Category___electronics,717.1009060671917,451.1096184386576,361.9007928745791,431.19603505335334
Product_Category___fashion,99.17341977301675,-15.841920485891725,-0.0,-15.71739415559599
Product_Category___food,30.316681310099675,-70.9944344386061,-0.0,-69.40080581404156
Product_Category___home & garden,200.48237975546047,58.17601580079571,0.0,50.57646235390264
Product_Category___sports,176.35530562765027,43.43278474192566,0.0,36.63242202489062
Product_Category___toys,28.780822363904647,-69.76353332102957,-0.0,-67.59026143585166
Payment_Method___cash on delivery,99.56480654299011,53.63514229266822,0.0,46.57440892861131
Payment_Method___credit card,-40.239191264709795,-22.69167573530202,-0.0,-16.03627383976661
Payment_Method___debit card,-77.75920169488326,-53.5602899080192,-0.0,-45.934125111934925
Payment_Method___digital wallet,-19.08808635524668,-8.75614018716608,0.0,-3.18728444092295
Device_Type___mobile,52.14877773753285,41.85827247777908,0.0,38.242685935212386
Device_Type___tablet,48.74707803882489,29.122376997519197,0.0,22.613501816727453
Is_Returning_Customer___True,-59.72360554897081,-43.929444938330136,-0.0,-40.21927553238387
